Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0001159999992523808 1.6970564e-05
GALEX:NUV 0.23119646641474512 0.00015749999874969944 1.3453624e-05
SDSS:u' 0.3519021246126397 0.0004000000044470653 9.219545e-06
SDSS:g' 0.48199694202385923 0.0007270000060088933 5.6568542e-06
SDSS:r' 0.6246977662012919 0.001664999988861382 5.099019e-05
SDSS:i' 0.7634912086792646 0.0023750000400468707 3.1622778e-05
SDSS:z' 0.9017941824088558 0.0027149999514222145 2.828427e-05
SDSS:u 0.3519021246126397 0.00021770000239484943 5.5461696e-06
SDSS:g 0.48199694202385923 0.000450999999884516 4.472136e-06
SDSS:r 0.6246977662012919 0.0003169999981764704 3e-06
SDSS:i 0.7634912086792645 0.0015105000493349507 1.3453624e-05
SDSS:z 0.9017941824088558 0.0015034999669296667 1.2806248e-05
2MASS:J 1.239016606050587 0.001596666678475837 0.00036290495
2MASS:H 1.6494770729023387 0.0020088888704776764 0.00048733974
2MASS:Ks 2.1637853338145083 0.0018662499351194128 0.0004372642
WISE:W1 3.3500107051067163 0.002222222224291828 0.00014456832
WISE:W2 4.600019302768061 0.004463999951258302 0.00025455846
WISE:W3 11.559823320737255 0.02748750033788383 0.0011704699
WISE:W4 22.09066818952177 0.19362500496208668 0.011313709
:=1.4GHz 214137.47000000003 0.06359999999403954 0.0021494187
"W1 (WISE)" 3.349636402234637 0.00224 4.96e-05
"W2 (WISE)" 4.5980438343558285 0.00461 9.34e-05
"W3 (WISE)" 11.574998378378378 0.0297 0.000465
"W4 (WISE)" 22.043563088235295 0.196 0.00396
"25 microns (IRAS)" 24.982704833333333 0.211 0.0127
"60 microns (IRAS)" 59.958491599999995 0.797 0.0877
"100 microns (IRAS)" 99.93081933333333 0.605 0.145
1.4GHz 214137.47 0.0651 0.0024
