Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 6.399999983841553e-05 1.3859293e-05
GALEX:NUV 0.23119646641474512 0.0001206666687115406 1.4456833e-05
SDSS:u' 0.3519021246126397 0.0010780000127851963 2.236068e-05
SDSS:g' 0.4819969420238593 0.005310000036843121 0.00041060933
SDSS:r' 0.6246977662012919 0.0067900000140070915 9e-05
SDSS:i' 0.7634912086792643 0.0071299998089671135 0.00472
SDSS:z' 0.9017941824088558 0.02295000059530139 0.0002
SDSS:u 0.3519021246126397 0.0010300000431016088 1e-05
SDSS:g 0.48199694202385923 0.005489999894052744 1e-05
2MASS:J 1.239016606050587 0.010528823141666019 0.0019288599
2MASS:H 1.6494770729023387 0.016147058895405603 0.0032984843
2MASS:Ks 2.1637853338145083 0.01850000023841858 0.0023790754
WISE:W1 3.350010705106716 0.021319999545812606 0.00087749644
WISE:W2 4.600019302768061 0.02218333336835106 0.0013416407
WISE:W3 11.559823320737255 0.07343333214521408 0.0017320509
WISE:W4 22.09066818952177 0.20524999871850014 0.008
Herschel/PACS:70 69.99917297095358 0.36500000953674316 0.026870057
Herschel/PACS:160 160.0002444361424 0.4970000088214874 0.03
Herschel/SPIRE:250 249.99371080720482 0.2540000081062317 0.015
Herschel/SPIRE:350 362.9976001356129 0.11599999666213989 0.009
:=250um 249.99371080720482 0.2540000081062317 0.015
:=350um 349.99995096608495 0.11599999666213989 0.009
:=1.4GHz 214137.47 0.0025400000158697367 0.00014
"W1 (WISE)" 3.3533831991051453 0.021333333333333333 0.00045680849379143554
"W2 (WISE)" 4.60510688172043 0.022333333333333334 0.0004410396807544645
"W3 (WISE)" 11.574998378378377 0.07723333333333333 0.001281013661129342
"W4 (WISE)" 22.0435630882353 0.19133333333333333 0.004689317647590106
1.4GHz 214137.47 0.0045 0.0005
