Filter Wave Flux F_er
"2-10 keV (XMM)" 0.00020675341931034483 1.17e-07 2.13e-08
"0.5-2 keV (XMM)" 0.0009926902582781457 3.11e-08 5.96e-09
"W1 (WISE)" 3.3533831991051453 0.03453333333333333 0.0007598670936420394
"W2 (WISE)" 4.60510688172043 0.05416666666666667 0.001098612761622584
"W3 (WISE)" 11.574998378378377 0.231 0.0035548417686304973
"W4 (WISE)" 22.0435630882353 0.8893333333333334 0.01717934806679229
"3.6 microns (IRAC)" 3.5520433412322276 0.0249 1.2494626845168286e-05
"5.8 microns (IRAC)" 5.732169369024856 0.08710000000000001 5.401666409544373e-05
"24 microns (MIPS)" 23.60570535433071 0.931 0.0005414794548272353
"70 microns (PACS)" 70.0449668224299 5.21 0.261
"160 microns (PACS)" 165.63119226519336 5.01 0.251
