Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.00048149999929592013 2.280351e-05
GALEX:NUV 0.23119646641474512 0.0012050000368617475 2.236068e-05
SDSS:g' 0.48199694202385923 0.007860000245273113 8e-05
SDSS:r' 0.6246977662012919 0.012900000438094139 0.0005
SDSS:i' 0.7634912086792645 0.017799999564886093 0.0015
2MASS:J 1.239016606050587 0.02344999959071477 0.003383785
2MASS:H 1.6494770729023385 0.03589166700839996 0.005637375
2MASS:Ks 2.163785333814508 0.038533332447210945 0.0036027767
WISE:W1 3.350010705106716 0.0348666658004125 0.0014696938
WISE:W2 4.600019302768061 0.0309666662166516 0.0012328828
WISE:W3 11.559823320737253 0.2797999978065491 0.008062258
WISE:W4 22.090668189521775 1.6200000286102294 0.041231055
IRAS:12 11.590213330240472 0.3775000125169754 0.052345008
IRAS:25 23.880234028994742 2.376666704813639 0.261916
IRAS:60 61.8498603288564 16.566666920979817 2.4186773
IRAS:100 101.94941780588995 17.366666793823242 2.426932
:=1.4GHz 214137.47 0.06805000081658363 0.003760319
"FUV (GALEX)" 0.1529553357142857 0.00119 3.12e-05
"NUV (GALEX)" 0.22711549848484847 0.000819 4.68e-05
"3.6 microns (IRAC)" 3.5520433412322276 0.0425 0.00196
"4.5 microns (IRAC)" 4.494639550224888 0.0323 0.0013300650454019158
"5.8 microns (IRAC)" 5.732169369024856 0.0922 0.00425
"8.0 microns (IRAC)" 7.86856845144357 0.59 0.0109
"12 microns (IRAS)" 11.99169832 0.36833333333333335 0.06111759157558485
"25 microns (IRAS)" 24.982704833333333 2.3800000000000003 0.08912177062873022
"60 microns (IRAS)" 59.958491599999995 16.6 0.9996989546858595
"100 microns (IRAS)" 99.93081933333333 17.03333333333333 1.224020016176206
"24 microns (MIPS)" 23.60570535433071 1.9 0.0004279831889221819
"70 microns (PACS)" 70.0449668224299 18.2 0.84
"100 microns (PACS)" 102.31824505119454 17.7 0.81
"160 microns (PACS)" 165.63119226519336 10.7 0.48
"250 microns (SPIRE)" 249.82704833333332 3.57 0.214
"350 microns (SPIRE)" 349.81617036172696 1.24 0.075
"500 microns (SPIRE)" 499.65409666666665 0.339 0.021
1.4GHz 214137.47 0.0675 0.0025
